,Line Number,Token Type,Token Input
288,22,Whitespace, 
289,22,Whitespace, 
290,22,Whitespace, 
291,22,Whitespace, 
292,22,Whitespace, 
293,22,Whitespace, 
294,22,Whitespace, 
295,22,ID,a
296,22,Whitespace, 
297,22,ASSIGN,=
298,22,Whitespace, 
299,22,ID,a
300,22,Operator,+
301,22,Integer,1
302,22,terminating symbol,;
303,22,Whitespace,"
"
304,23,Whitespace, 
305,23,Whitespace, 
306,23,Whitespace, 
307,23,Whitespace, 
308,23,Whitespace, 
309,23,Whitespace, 
310,23,Whitespace, 
311,23,Whitespace, 
312,23,ID,b
313,23,Whitespace, 
314,23,ASSIGN,=
315,23,Whitespace, 
316,23,ID,b
317,23,Whitespace, 
318,23,Operator,*
319,23,Whitespace, 
320,23,ID,s
321,23,terminating symbol,;
322,23,Whitespace,"
"
323,24,Whitespace, 
324,24,Whitespace, 
325,24,Whitespace, 
326,24,Whitespace, 
327,24,scope symbol,}
328,24,Whitespace,"
"
329,25,Whitespace,"
"
330,26,Whitespace, 
331,26,Whitespace, 
332,26,Whitespace, 
333,26,Whitespace, 
334,26,Type,int
335,26,Whitespace, 
336,26,ID,x
337,26,Whitespace, 
338,26,ASSIGN,=
339,26,Whitespace, 
340,26,Integer,3
341,26,terminating symbol,;
342,26,Whitespace,"
"
343,27,Whitespace, 
344,27,Whitespace, 
345,27,Whitespace, 
346,27,Whitespace, 
347,27,special statements,return
348,27,Whitespace, 
349,27,ID,x
350,27,terminating symbol,;
351,27,Whitespace,"
"
352,28,scope symbol,}
